epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.102,3.03663,3.43363,2.13982,0.06889,0.0807,0.0405,0.0101,3.0903,2.81397,2.17728,4.287e-05,4.287e-05,4.287e-05
2,702.723,2.79087,2.28527,1.89267,0.37132,0.13063,0.10337,0.03158,2.60968,2.13544,1.70987,9.80494e-05,9.80494e-05,9.80494e-05
3,1130.5,2.2356,1.78179,1.47053,0.72493,0.16186,0.15882,0.05535,2.44962,2.36873,1.68222,0.000150965,0.000150965,0.000150965
4,1483.27,2.20867,1.52459,1.49729,0.83521,0.27323,0.31495,0.11946,2.29822,1.72517,1.58075,0.000201618,0.000201618,0.000201618
5,1888.48,2.25137,1.43405,1.48775,0.73508,0.3362,0.34995,0.15005,2.32277,1.46678,1.61503,0.000250006,0.000250006,0.000250006
6,2233.49,2.14785,1.3587,1.3646,0.78658,0.32091,0.3433,0.14534,2.26197,1.45868,1.58824,0.000296132,0.000296132,0.000296132
7,2581.66,2.21734,1.3797,1.38065,0.73549,0.31797,0.35491,0.14641,2.23598,1.3897,1.54697,0.000339993,0.000339993,0.000339993
8,2916.32,2.15313,1.2717,1.35803,0.81442,0.38419,0.42156,0.17244,2.1777,1.37181,1.52135,0.000381592,0.000381592,0.000381592
9,3274.42,2.07105,1.26862,1.34954,0.45219,0.44567,0.4254,0.16943,2.19278,1.35298,1.52895,0.000420926,0.000420926,0.000420926
10,3583.49,2.29103,1.4681,1.53956,0.45587,0.36422,0.42045,0.17034,2.1706,1.54518,1.54679,0.000457997,0.000457997,0.000457997
11,3928.36,2.03358,1.16765,1.47492,0.51818,0.3764,0.391,0.17289,2.12976,1.36563,1.52722,0.000492805,0.000492805,0.000492805
12,4254.05,2.06002,1.26515,1.38407,0.76055,0.34066,0.37881,0.15849,2.15917,1.42093,1.54261,0.000525349,0.000525349,0.000525349
13,4628.4,2.00805,1.1401,1.33546,0.32722,0.32793,0.27525,0.11005,2.18905,1.81119,1.62299,0.000555629,0.000555629,0.000555629
14,4981.1,2.14863,1.22677,1.39253,0.18219,0.31359,0.21907,0.0773,2.20885,2.01793,1.65198,0.000583646,0.000583646,0.000583646
15,5320.66,1.99553,1.21973,1.41356,0.66673,0.39762,0.33279,0.12645,2.2044,1.4734,1.65522,0.0006094,0.0006094,0.0006094
16,5650.6,2.08805,1.12708,1.4322,0.69115,0.35852,0.33391,0.12584,2.21722,1.44393,1.66249,0.00063289,0.00063289,0.00063289
17,5998.55,2.10846,1.11025,1.36707,0.43079,0.34667,0.38089,0.16867,2.16551,1.36329,1.61045,0.000654116,0.000654116,0.000654116
18,6292.23,2.02587,1.09254,1.3327,0.47185,0.43481,0.40914,0.16937,2.2357,1.30574,1.59291,0.000673079,0.000673079,0.000673079
19,6647.76,1.98315,1.06782,1.36198,0.52359,0.37192,0.40743,0.16606,2.26997,1.35111,1.62017,0.000689778,0.000689778,0.000689778
20,6971.62,1.94632,1.07785,1.3512,0.67071,0.42109,0.50665,0.23542,2.12618,1.20949,1.55044,0.000704214,0.000704214,0.000704214
21,7297.25,2.11468,1.14223,1.39439,0.75116,0.4589,0.53828,0.25678,2.10002,1.21322,1.50413,0.000716386,0.000716386,0.000716386
22,7611.26,2.14001,1.14739,1.31321,0.68127,0.57517,0.56859,0.28452,2.08156,1.20118,1.4747,0.000726295,0.000726295,0.000726295
23,7902.21,1.95992,1.13428,1.31292,0.75222,0.61513,0.61333,0.30587,2.06567,1.25445,1.45743,0.00073394,0.00073394,0.00073394
24,8188.19,1.98661,1.11836,1.30663,0.66329,0.66566,0.64156,0.30259,2.09793,1.151,1.48179,0.000739322,0.000739322,0.000739322
25,8532.44,2.03647,1.07338,1.38938,0.80113,0.54974,0.59848,0.28738,2.06708,1.17562,1.47358,0.00074244,0.00074244,0.00074244
26,8858.16,1.98525,1.10434,1.35052,0.77746,0.53289,0.58222,0.29044,2.01376,1.21086,1.45084,0.000721645,0.000721645,0.000721645
27,9193.52,1.99556,1.16202,1.33634,0.58109,0.61076,0.62309,0.30471,2.01356,1.13369,1.4537,0.000693351,0.000693351,0.000693351
28,9515.34,1.94862,1.04976,1.41642,0.65575,0.52725,0.65369,0.32736,1.96054,1.06332,1.41,0.000665057,0.000665057,0.000665057
29,9831.64,1.88595,0.99416,1.30864,0.56193,0.59857,0.59337,0.28887,1.93995,1.08299,1.39194,0.000636762,0.000636762,0.000636762
30,10178.1,1.8213,1.02443,1.32238,0.55443,0.66859,0.60017,0.29296,1.92331,1.03613,1.39374,0.000608468,0.000608468,0.000608468
31,10494.8,1.90309,0.98819,1.23471,0.63225,0.61766,0.62984,0.30857,1.91166,0.98194,1.39227,0.000580174,0.000580174,0.000580174
32,10841,1.92354,1.03218,1.33646,0.87181,0.59999,0.71875,0.38208,1.86794,0.92475,1.36863,0.00055188,0.00055188,0.00055188
33,11168,1.81795,1.00156,1.3003,0.85557,0.62291,0.73549,0.42027,1.86246,0.9245,1.35401,0.000523586,0.000523586,0.000523586
34,11494.9,1.92395,0.94082,1.39997,0.63572,0.68925,0.71197,0.40205,1.86807,0.92633,1.34589,0.000495291,0.000495291,0.000495291
