epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,11836.4,1.73809,0.97511,1.21704,0.63857,0.66668,0.70538,0.38061,1.85984,0.96634,1.34621,0.000466997,0.000466997,0.000466997
36,12179,1.81766,0.9626,1.30465,0.61692,0.72417,0.7158,0.39192,1.83918,0.94075,1.33741,0.000438703,0.000438703,0.000438703
37,12503.9,2.01748,1.16883,1.41917,0.6673,0.7023,0.73952,0.42689,1.7873,0.89946,1.309,0.000410409,0.000410409,0.000410409
38,12838.8,1.86073,0.93227,1.3136,0.63506,0.73333,0.73988,0.41843,1.7737,0.89503,1.29767,0.000382115,0.000382115,0.000382115
39,13170.2,1.81332,0.94877,1.27243,0.64008,0.71633,0.73718,0.41157,1.78398,0.89149,1.29422,0.00035382,0.00035382,0.00035382
40,13473.2,1.70375,0.86146,1.22157,0.7388,0.71612,0.79606,0.43266,1.80509,0.88592,1.30601,0.000325526,0.000325526,0.000325526
41,13774.2,1.86551,1.01635,1.31388,0.78644,0.74728,0.8214,0.44531,1.79508,0.85415,1.3033,0.000297232,0.000297232,0.000297232
42,14038.1,1.78068,0.87941,1.28253,0.87566,0.71787,0.84204,0.49301,1.74048,0.82553,1.27693,0.000268938,0.000268938,0.000268938
43,14287.3,1.89669,0.91821,1.40303,0.86951,0.75717,0.86115,0.49641,1.71734,0.8137,1.26099,0.000240644,0.000240644,0.000240644
44,14569.3,1.72417,0.94359,1.24977,0.92423,0.75204,0.8693,0.50084,1.69948,0.80727,1.25414,0.000212349,0.000212349,0.000212349
45,14825.8,1.79577,0.86652,1.37643,0.94198,0.80638,0.88627,0.50353,1.69195,0.80474,1.2528,0.000184055,0.000184055,0.000184055
46,15089.3,1.70673,0.84777,1.2858,0.95895,0.75295,0.88935,0.49184,1.70011,0.81532,1.25397,0.000155761,0.000155761,0.000155761
47,15418.2,1.7029,0.83799,1.24267,0.8821,0.78232,0.88719,0.486,1.69648,0.81965,1.24764,0.000127467,0.000127467,0.000127467
48,15724.7,1.69994,0.82491,1.2508,0.85365,0.73269,0.8381,0.48326,1.67377,0.81249,1.23563,9.91726e-05,9.91726e-05,9.91726e-05
49,16029,1.67536,0.83564,1.26621,0.80211,0.8067,0.83778,0.4949,1.64449,0.80224,1.22281,7.08784e-05,7.08784e-05,7.08784e-05
50,16319.9,1.70955,0.84999,1.24107,0.87631,0.7915,0.84779,0.49961,1.62945,0.79743,1.21606,4.25842e-05,4.25842e-05,4.25842e-05
